key_word,TF-IDF,albumIndex
pee,0.663151071321805,1302
ass,0.24276229949196215,1302
jams,0.22131638313754323,1302
nelly,0.19041670456561902,1302
move,0.18729098654674628,1302
seen,0.17909302993093332,1302
believe,0.17015806907927983,1302
way,0.16535503826559103,1302
dancer,0.16107534772073087,1302
belly,0.1537129514539965,1302
love,0.22700268378222752,1492
resuscitates,0.22588261034863172,1492
windpipe,0.22588261034863172,1492
right,0.2254406671262595,1492
huffing,0.21567538329032365,1492
feels,0.19982533679119044,1492
suffocate,0.19822601338075793,1492
lie,0.19687247667064958,1492
alright,0.19655482111303374,1492
fight,0.19608206422296962,1492
therapy,0.5666603006844898,1796
reaching,0.4551110387939447,1796
lately,0.3907643887617892,1796
reach,0.35939988261161615,1796
rock,0.31513310942088635,1796
hard,0.23312823848839068,1796
ve,0.19038726484842888,1796
aa,0.0,1796
presidential,0.0,1796
presidente,0.0,1796
wick,0.15969642682692206,1797
tunnel,0.14877395542296423,1797
tick,0.14157950743183428,1797
hi,0.12219199670259874,1797
short,0.11808898395623216,1797
still,0.11120111530968609,1797
corporate,0.09592830179520005,1797
welfare,0.09592830179520005,1797
tickâ,0.09592830179520005,1797
overpriced,0.09592830179520005,1797
stepdad,0.7751387533525359,1828
startin,0.17854057534422887,1828
bye,0.16809040839985046,1828
craw,0.12918979222542265,1828
chihuahua,0.12918979222542265,1828
stomped,0.12335193892265947,1828
witnessed,0.11920991608709562,1828
norm,0.11920991608709562,1828
eyeball,0.11920991608709562,1828
psychotic,0.11337206278433241,1828
saw,0.27718069630502384,2068
apologizing,0.1893176578027281,2068
february,0.18296057846823932,2068
dwelling,0.17802964465441337,2068
violets,0.17802964465441337,2068
coffins,0.174000778374882,2068
pointed,0.1705944204716049,2068
machete,0.1650409782815247,2068
smashed,0.16271276522656727,2068
respond,0.16060664033238553,2068
lobbyin,0.19166661740513427,2075
shoddy,0.19166661740513427,2075
chainsawing,0.19166661740513427,2075
dismemberin,0.19166661740513427,2075
lynn,0.19166661740513427,2075
plaintiff,0.19166661740513427,2075
bailiff,0.18300554924972143,2075
arraignment,0.18300554924972143,2075
fainted,0.18300554924972143,2075
limbs,0.17209389383352156,2075
fuckin,0.32161606287683203,2076
bitch,0.15584997535956957,2076
source,0.1505059847697812,2076
magazine,0.14735241699793036,2076
fuck,0.1469317817073426,2076
grandfather,0.1288748794558971,2076
motherfuckers,0.12809439884397156,2076
mic,0.12391098796717072,2076
put,0.1163565612331413,2076
dignity,0.11234892945632209,2076
descriptive,0.19871231367995956,2090
alf,0.19871231367995956,2090
word,0.190043205533549,2090
mislead,0.18336184176166714,2090
marsh,0.18336184176166714,2090
sound,0.17967028873000204,2090
occurred,0.17842009358138927,2090
counterfeit,0.17842009358138927,2090
carton,0.17842009358138927,2090
bonkers,0.17096856270252667,2090
covid,0.3018350054656622,2091
sars,0.2587157189705676,2091
like,0.229842296389692,2091
corona,0.22703910447696318,2091
virus,0.22703910447696318,2091
infected,0.22703910447696318,2091
attacks,0.20474549073119142,2091
bat,0.17877284466485588,2091
gnat,0.17247714598037842,2091
bars,0.1631568093233937,2091
ha,0.5907045277041003,2785
connecticut,0.4331534211751986,2785
kaniff,0.30549507589917274,2785
ken,0.19905441815354416,2785
piece,0.183743138441731,2785
melt,0.1610323577183045,2785
cock,0.14868712967675704,2785
yo,0.14605739280978003,2785
hotel,0.13116483724270192,2785
ass,0.12440322968304339,2785
mathers,0.526443169057084,2803
medic,0.3189620414780483,2803
dmc,0.3189620414780483,2803
mr,0.29073120762701005,2803
okay,0.22558851531730795,2803
responding,0.17283226605175964,2803
tubing,0.17283226605175964,2803
respiration,0.16502228820588027,2803
palp,0.16502228820588027,2803
bp,0.15948102073902415,2803
dad,0.3328192778744479,2925
husband,0.3040746936030509,2925
father,0.21032734777602322,2925
good,0.1886506866613708,2925
eye,0.1617840776671741,2925
actually,0.151763627096953,2925
bad,0.1327407681308986,2925
great,0.12561040587101338,2925
loser,0.12529356490691682,2925
come,0.1195254506860615,2925
phenomenal,0.6362160788184873,3642
menal,0.1848643502407837,3642
phe,0.1848643502407837,3642
lengths,0.16598626456005977,3642
however,0.14335185804046915,3642
ounce,0.13049257864933883,3642
impossible,0.12839557782071764,3642
monster,0.1264924357377682,3642
breath,0.1183897912908204,3642
no,0.11813874974581907,3642
help,0.4437391244694817,3646
please,0.40367843639311857,3646
asshole,0.38181653675620864,3646
fits,0.37636079890630264,3646
sick,0.24560674325645518,3646
perfect,0.24455640329748352,3646
somebody,0.23543593122084264,3646
oh,0.21683786123618748,3646
watch,0.19871834060627164,3646
god,0.1900615892781899,3646
dragged,0.46484757517833314,3654
body,0.40916049250301073,3654
thrown,0.36073540665753323,3654
trunk,0.3351360219978108,3654
closed,0.31653544181180476,3654
across,0.29154489292178365,3654
shut,0.2793197149311529,3654
ground,0.2578404827443758,3654
car,0.21062741551322986,3654
pretentious,0.0,3654
proof,0.2911009284925303,3655
flinch,0.15435654866335044,3655
highi,0.15435654866335044,3655
coked,0.15435654866335044,3655
texta,0.15435654866335044,3655
schoolcraft,0.15435654866335044,3655
poachers,0.15435654866335044,3655
kilpatrick,0.15435654866335044,3655
slackers,0.15435654866335044,3655
dudey,0.15435654866335044,3655
suzanne,0.308363293426588,3656
says,0.16516996839946937,3656
stacy,0.154181646713294,3656
devised,0.154181646713294,3656
chats,0.154181646713294,3656
mismatched,0.14721445665914404,3656
lacks,0.14721445665914404,3656
flack,0.14721445665914404,3656
psychopath,0.14227115664673307,3656
gwen,0.13843683527043021,3656
um,0.3107968952450424,3657
fuckin,0.2945144742287775,3657
yahoo,0.24720053110311857,3657
rhymed,0.2169338122600374,3657
chimes,0.2169338122600374,3657
revival,0.2169338122600374,3657
gps,0.2169338122600374,3657
comments,0.2126869680057666,3657
yo,0.21223534297739446,3657
fucker,0.18824180513195765,3657
huh,0.5371139419006066,3666
say,0.36172518441949536,3666
sprayin,0.244261606328513,3666
dre,0.20628663277979767,3666
sayin,0.16722280498330014,3666
whenever,0.166401831680525,3666
playin,0.1442783778646675,3666
shit,0.13856071773723871,3666
said,0.11264616591262051,3666
remember,0.11197644511097532,3666
shot,0.37754781415044775,3667
shots,0.3312984660678827,3667
stops,0.3017884893715632,3667
hit,0.22055256998246694,3667
gunshots,0.19835221496164365,3667
door,0.17557965465183156,3667
licking,0.15862678315008835,3667
eminem,0.1519017486499879,3667
bodies,0.14638916109385366,3667
bizarre,0.1392941938167596,3667
dwells,0.20680469343518018,3670
brinkley,0.20680469343518018,3670
derailed,0.20680469343518018,3670
decals,0.20680469343518018,3670
syncing,0.19745956297401426,3670
christie,0.19745956297401426,3670
hort,0.19745956297401426,3670
murdering,0.19745956297401426,3670
envisioning,0.19745956297401426,3670
risky,0.19082908739266463,3670
definitely,0.3107346660544618,3675
offensive,0.26391391424543964,3675
name,0.18867394569790746,3675
possessed,0.15834834854726376,3675
dre,0.14645151251635433,3675
dr,0.12520271152806553,3675
butt,0.11797519750524525,3675
tuna,0.1175718350088703,3675
putt,0.1175718350088703,3675
hutt,0.1175718350088703,3675
eminem,0.4121885226852986,3676
kidding,0.3419303472021801,3676
fuck,0.2539868536935218,3676
shot,0.22766305946047688,3676
prank,0.22277362169562157,3676
uck,0.22277362169562157,3676
wheezing,0.21529312778297158,3676
mothafucker,0.20949080592458452,3676
shoots,0.20949080592458452,3676
officer,0.200741638844517,3676
shop,0.11735542025352794,3677
like,0.11438014000416043,3677
blonde,0.09352300364857129,3677
back,0.08956658393750079,3677
ll,0.08678786791357893,3677
shit,0.08309109770795486,3677
spark,0.08122023903843646,3677
fucking,0.07959671070594643,3677
closet,0.07873392711301738,3677
battle,0.07848321819446782,3677
dark,0.2694411435916584,3695
awake,0.2665549234989524,3695
wide,0.25481269844545396,3695
cold,0.24332252250332065,3695
world,0.22779793681052346,3695
see,0.16860821851354163,3695
stay,0.1570880978669513,3695
compose,0.14734821386859676,3695
vinn,0.14734821386859676,3695
mozart,0.14240042243577672,3695
make,0.2684257137644359,3696
mile,0.268344679111479,3696
travel,0.21632360759466734,3696
road,0.2035616249228618,3696
gonna,0.1958512548402728,3696
anyway,0.1947816668543893,3696
ma,0.1879235896181674,3696
sometimes,0.18141173376826553,3696
somehow,0.17607459861094246,3696
new,0.16237684076706682,3696
till,0.6111357196481915,3697
collapse,0.22581888889514126,3697
clears,0.20952289267035906,3697
roof,0.20763052098617235,3697
legs,0.17912287599238075,3697
bones,0.15529231212983563,3697
niggaz,0.14708567621539267,3697
rip,0.14662978042556352,3697
comes,0.1378347327934965,3697
shut,0.1306731793143458,3697
meant,0.3908131433547135,3720
closet,0.23987017634537683,3720
cleaning,0.2341010781864063,3720
mama,0.22333904566458762,3720
never,0.19558766242215583,3720
sorry,0.17996428373760573,3720
hurt,0.17028070112659796,3720
snare,0.1668943829375837,3720
cry,0.16656740279792442,3720
hailie,0.14034195316142095,3720
aa,0.0,3721
pressing,0.0,3721
presses,0.0,3721
pressed,0.0,3721
press,0.0,3721
presidio,0.0,3721
presidents,0.0,3721
presidential,0.0,3721
presidente,0.0,3721
president,0.0,3721
desperation,0.37195491793190794,3727
cause,0.24183985548071635,3727
ain,0.23748974565800457,3727
love,0.212975994362447,3727
know,0.160673806758674,3727
can,0.14540590344604234,3727
mr,0.11883052999700917,3727
give,0.11778748110866104,3727
wants,0.11727757522584131,3727
cost,0.11664205915088041,3727
murder,1.0,3742
aa,0.0,3742
presi,0.0,3742
pressing,0.0,3742
pressin,0.0,3742
presses,0.0,3742
pressed,0.0,3742
press,0.0,3742
presidio,0.0,3742
presidents,0.0,3742
music,0.37867866323619803,3743
microphone,0.3339653906643987,3743
applause,0.32679638577190856,3743
dies,0.289826998620876,3743
starts,0.25128742272939586,3743
eminem,0.24573702560932162,3743
track,0.21263727065900395,3743
screeches,0.2086469047130976,3743
segues,0.2086469047130976,3743
taps,0.18734017824549373,3743
backstabber,0.34423375111252674,3765
oughta,0.2745379257588501,3765
he,0.2336048953167246,3765
armed,0.21398752793319395,3765
bulletin,0.18026261756245435,3765
units,0.15819163762024402,3765
ha,0.15648068746561614,3765
backs,0.14426639968422467,3765
fuckin,0.14317647241721396,3765
snake,0.14116953230194718,3765
til,0.45960413851999943,3766
roof,0.3501631284233509,3766
collapse,0.25389153841492584,3766
legs,0.24922076351642022,3766
left,0.23271353148798918,3766
yo,0.20183089375292673,3766
clears,0.198761940509652,3766
comes,0.19177493190394146,3766
perhaps,0.1822927905070043,3766
give,0.15243433439075751,3766
sometimes,0.3421354943610831,3767
apple,0.30030909221365953,3767
tree,0.24449906069071825,3767
family,0.23325819216718222,3767
feel,0.19757787821423978,3767
crazy,0.1952895469070325,3767
far,0.18760567168824227,3767
look,0.18191889045100518,3767
fall,0.16662866742501747,3767
goin,0.1652970362447338,3767
dig,0.3582896227267028,3768
hell,0.2740026670283176,3768
loading,0.25339468437559204,3768
wicked,0.23816181233359637,3768
names,0.17374075603397385,3768
way,0.17097630987025572,3768
ways,0.1659820310669423,3768
hole,0.16409786881187644,3768
wanna,0.13798951955502256,3768
taking,0.12587611963223191,3768
twenty,0.24194241814831,3769
five,0.21363054000150966,3769
cordae,0.2131995898638653,3769
harlow,0.20356548558678145,3769
furnace,0.1914279496352166,3769
blooded,0.1914279496352166,3769
meaner,0.1774617712659653,3769
yeah,0.17045898936051285,3769
earn,0.1551678984826759,3769
fifteen,0.14885462527066817,3769
outsiderz,0.4131214332385776,3776
bust,0.2212820252206967,3776
digga,0.2065607166192888,3776
kabab,0.2065607166192888,3776
zee,0.19722661102963876,3776
bloodshed,0.19722661102963876,3776
shish,0.19722661102963876,3776
rah,0.1854670287258055,3776
kurt,0.18126985212946525,3776
starve,0.18126985212946525,3776
tap,0.21742271854407438,3777
shady,0.17372482915881202,3777
tacking,0.15400764551999585,3777
lapdances,0.15400764551999585,3777
menstruating,0.15400764551999585,3777
recklessly,0.15400764551999585,3777
xanaxes,0.15400764551999585,3777
stephanie,0.1470483182654021,3777
wrecking,0.1470483182654021,3777
capsules,0.1470483182654021,3777
suave,0.2643976152790779,3778
zolofts,0.2643976152790779,3778
infucktion,0.2643976152790779,3778
palsy,0.2524499647332329,3778
autotune,0.2439729717658345,3778
alter,0.2439729717658345,3778
cerebral,0.23202532121998945,3778
rico,0.22748303529414549,3778
doze,0.22354832825259105,3778
ladder,0.21697306167761907,3778
fuckin,0.24263686456052697,3779
dre,0.19026169847766938,3779
two,0.15870881351723556,3779
dation,0.15274282004718776,3779
latchin,0.15274282004718776,3779
battered,0.15274282004718776,3779
stapled,0.14584064797054308,3779
med,0.14584064797054308,3779
funkmaster,0.14584064797054308,3779
kap,0.14584064797054308,3779
square,0.4174310508768118,3795
do,0.4042811942274079,3795
dance,0.2682650535456077,3795
si,0.21542556639055352,3795
let,0.19546386521330128,3795
mon,0.15167585761345345,3795
wants,0.13557725853385227,3795
hair,0.13476142834037352,3795
worry,0.12729143317164468,3795
scared,0.1209433783967164,3795
rhyme,0.18954051657627724,3796
taken,0.14053007040113535,3796
dad,0.1379127401933886,3796
cause,0.12704355891676528,3796
ripping,0.12561983514486472,3796
daddy,0.12298994431431673,3796
who,0.11747881536530977,3796
rap,0.11294681123756029,3796
whoever,0.10998782890416718,3796
marshall,0.10525140531266887,3796
takin,0.26915827015249766,3803
harassment,0.26267978947529447,3803
baggin,0.2423878475358648,3803
cocktail,0.23585530132573918,3803
motel,0.23585530132573918,3803
bizarre,0.21277314586590879,3803
xanax,0.20788262350384548,3803
dan,0.20571310639352933,3803
waitress,0.20369333428493214,3803
stripper,0.18542116445409962,3803
fault,0.38617825738459144,3838
meant,0.3259630316756092,3838
mushrooms,0.2784010720058539,3838
usin,0.2682297514055811,3838
aid,0.2510640809619298,3838
sittin,0.19005674703039205,3838
crying,0.18111747149017463,3838
corner,0.17857799251796025,3838
susan,0.1586218675238819,3838
shaved,0.15145403191347265,3838
just,0.35382745425710765,3839
erra,0.21840942572097416,3839
ofâ,0.21840942572097416,3839
buttersworth,0.20853989837414647,3839
burp,0.20153735728127026,3839
toâ,0.19610576443166713,3839
for,0.18791560978118246,3839
christopher,0.18466528884156627,3839
reeves,0.18466528884156627,3839
mrs,0.17691372712855383,3839
stan,0.2384289228398914,3840
reminds,0.20551557973313173,3840
gray,0.20339839242630017,3840
bad,0.19743577934085518,3840
tea,0.19370568379065653,3840
wondering,0.18015107202076852,3840
man,0.17094573819419168,3840
clouds,0.161150310130778,3840
anyways,0.15704967540434767,3840
wall,0.1549812534102081,3840
suck,0.5186151114602195,3841
fucking,0.3045898203832326,3841
dick,0.20066648522196995,3841
guy,0.16644893514747872,3841
nice,0.15838164345213268,3841
hope,0.15722376822209688,3841
chargin,0.15205346313395554,3841
bi,0.13464568127205634,3841
psych,0.1325552650396256,3841
faithful,0.11514748317772644,3841
stops,0.19639715907762667,3860
mcvay,0.17809097822395467,3860
music,0.16925949164342424,3860
fore,0.16514928358118813,3860
would,0.15153995175236007,3860
leap,0.14927382432185127,3860
balls,0.12888514762486827,3860
ain,0.12541162374127107,3860
see,0.1222720050008336,3860
friends,0.10882372838547422,3860
uncontrollably,0.8113803917823913,3861
ballin,0.42850471578708077,3861
ba,0.2737834574181496,3861
candy,0.17530123705087486,3861
painted,0.07367485583677798,3861
paint,0.060544403175715106,3861
controllably,0.05409202611882609,3861
candyland,0.05409202611882609,3861
yeahâ,0.048568225005279235,3861
gots,0.048568225005279235,3861
trick,0.4877747799004171,3862
detroit,0.3926206785641244,3862
tricky,0.2754624449680866,3862
eminem,0.22383291474772135,3862
welcome,0.1652464078761355,3862
gangstas,0.14015545001097668,3862
goon,0.1303701094381339,3862
thugs,0.1251473166151467,3862
chorus,0.11891033706315456,3862
city,0.11812400580379967,3862
disgusting,0.4576334833851358,3866
zoe,0.24299250999402797,3866
agent,0.2374935138487848,3866
fucking,0.23005317724555763,3866
justin,0.22526429035089,3866
seriously,0.2165875181946731,3866
telephone,0.2165875181946731,3866
however,0.20985729084202143,3866
listened,0.2079107460384562,3866
nauseous,0.2079107460384562,3866
dance,0.31339126036690895,3879
floor,0.3043423301202727,3879
ah,0.2960185229237578,3879
little,0.2628518736811888,3879
poot,0.253531850075419,3879
report,0.22547408159807558,3879
who,0.21086182744290877,3879
brand,0.14646517764684652,3879
everyone,0.13783053478569018,3879
bit,0.13596385520308935,3879
matter,0.3908672034685505,3880
many,0.3884702724028508,3880
mcs,0.23051974282941615,3880
battles,0.22811397885595522,3880
magazines,0.20561237117684944,3880
nuts,0.19021006180231517,3880
eat,0.13467274500688786,3880
face,0.12012588322144399,3880
shit,0.11631689951961001,3880
enough,0.11289622845826447,3880
slim,0.19501042618067516,3881
biggest,0.16522368119354292,3881
man,0.1628135749630224,3881
crummy,0.16020020493593448,3881
addresses,0.14384078684958618,3881
wrote,0.1411759612460784,3881
fan,0.1402020015489362,3881
elton,0.13544936084748616,3881
dear,0.13422600748574998,3881
stan,0.12976370066638857,3881
weak,0.2615602461640526,3882
smoke,0.2561508899283951,3882
tokes,0.2241516057669255,3882
chokeâ,0.2241516057669255,3882
smalls,0.2241516057669255,3882
gun,0.21368352465961127,3882
strong,0.2108024104738337,3882
dead,0.20767221755282467,3882
slayer,0.20126156118218905,3882
