,0
85,https://www.azlyrics.com/lyrics/carlyraejepsen/thisloveisntcrazy.html
86,https://www.azlyrics.com/lyrics/carlyraejepsen/window.html
87,https://www.azlyrics.com/lyrics/carlyraejepsen/feltthisway.html
88,https://www.azlyrics.com/lyrics/carlyraejepsen/stayaway.html
89,https://www.azlyrics.com/lyrics/carlyraejepsen/thisiswhattheysay.html
90,https://www.azlyrics.com/lyrics/carlyraejepsen/heartbeat.html
91,https://www.azlyrics.com/lyrics/carlyraejepsen/summerlove.html
92,https://www.azlyrics.com/lyrics/carlyraejepsen/fakemonalisa.html
93,https://www.azlyrics.com/lyrics/carlyraejepsen/letssortthewholethingout.html
94,https://www.azlyrics.com/lyrics/carlyraejepsen/comeback.html
95,https://www.azlyrics.com/lyrics/carlyraejepsen/solo.html
96,https://www.azlyrics.com/lyrics/carlyraejepsen/nowidonthatecaliforniaafterall.html
97,https://www.azlyrics.com/lyrics/carlyraejepsen/letsbefriends.html
98,https://www.azlyrics.com/lyrics/carlyraejepsen/alwaysonmymind.html
99,https://www.azlyrics.com/lyrics/carlyraejepsen/itsnotchristmastillsomebodycries.html
100,https://www.azlyrics.com/lyrics/carlyraejepsen/lastchristmas.html
101,https://www.azlyrics.com/lyrics/carlyraejepsen/letitsnow.html
102,https://www.azlyrics.com/lyrics/carlyraejepsen/mittens.html
103,https://www.azlyrics.com/lyrics/carlyraejepsen/cupoftea.html
104,https://www.azlyrics.com/lyrics/carlyraejepsen/cuttothefeeling.html
105,https://www.azlyrics.com/lyrics/carlyraejepsen/dearyou.html
106,https://www.azlyrics.com/lyrics/carlyraejepsen/dontspeak.html
107,https://www.azlyrics.com/lyrics/carlyraejepsen/everywhereyoulookthefullerhousetheme.html
108,https://www.azlyrics.com/lyrics/carlyraejepsen/istillwonder.html
109,https://www.azlyrics.com/lyrics/carlyraejepsen/inmybedroom.html
110,https://www.azlyrics.com/lyrics/lilyachty/ittakestwo.html
111,https://www.azlyrics.com/lyrics/bbno/lalalaremix.html
112,https://www.azlyrics.com/lyrics/carlyraejepsen/meandtheboysintheband.html
113,https://www.azlyrics.com/lyrics/gryffin/omg.html
114,https://www.azlyrics.com/lyrics/carlyraejepsen/partofyourworld.html
115,https://www.azlyrics.com/lyrics/carlyraejepsen/takeapicture.html
116,https://www.azlyrics.com/lyrics/carlyraejepsen/tobewithoutyou.html
117,https://www.azlyrics.com/lyrics/carlyraejepsen/tonightimgettingoveryouremix.html
118,https://www.azlyrics.com/lyrics/carlyraejepsen/westernwind.html
119,https://www.azlyrics.com/lyrics/imaginedragons/pistolwhip.html
120,https://www.azlyrics.com/lyrics/imaginedragons/livingmusical.html
121,https://www.azlyrics.com/lyrics/imaginedragons/thepit.html
122,https://www.azlyrics.com/lyrics/imaginedragons/speaktome.html
123,https://www.azlyrics.com/lyrics/imaginedragons/boots.html
124,https://www.azlyrics.com/lyrics/imaginedragons/ineedaminute.html
125,https://www.azlyrics.com/lyrics/imaginedragons/uptight.html
126,https://www.azlyrics.com/lyrics/imaginedragons/coverup.html
127,https://www.azlyrics.com/lyrics/imaginedragons/curse.html
128,https://www.azlyrics.com/lyrics/imaginedragons/drive.html
129,https://www.azlyrics.com/lyrics/imaginedragons/holeinsideourchests.html
130,https://www.azlyrics.com/lyrics/imaginedragons/alleyes.html
131,https://www.azlyrics.com/lyrics/imaginedragons/idontmind.html
