key_word,TF-IDF,albumIndex
divine,0.6635244323859875,1158
night,0.4811572315634183,1158
yonder,0.15081768666139544,1158
rejoices,0.15081768666139544,1158
glorious,0.14103363830291982,1158
weary,0.12977552421014685,1158
oh,0.1269710979245709,1158
morn,0.1259319977753217,1158
savior,0.12273234379012136,1158
christ,0.12131292403205392,1158
born,0.35788154746305956,1862
hark,0.3184608409986513,1862
herald,0.3184608409986513,1862
deo,0.2994727011593027,1862
king,0.2525890399870249,1862
excelsis,0.25014943161743514,1862
glory,0.2146331905909268,1862
angels,0.21242433464256336,1862
new,0.16431341015416265,1862
reconciled,0.15923042049932565,1862
caution,0.853553965927422,1932
proceed,0.4030671505768382,1932
dishonest,0.1840661250736341,1932
touch,0.09453547909840669,1932
face,0.0848017490218259,1932
kind,0.0786508507615151,1932
closer,0.07448071328382924,1932
harder,0.07399513875569992,1932
different,0.06934059929877448,1932
persist,0.06425912896516082,1932
babydoll,0.447163247645353,2113
check,0.3018779507593953,2113
obsessing,0.21347837418827142,2113
zoning,0.2063100044933186,2113
enfold,0.20074978498699864,2113
velvet,0.19236567761585618,2113
stressing,0.17337491602323563,2113
softly,0.1717667658346027,2113
suite,0.1688318858951505,2113
service,0.15610329669387768,2113
sweet,0.8091296248767195,2365
love,0.2835246681309751,2365
hangover,0.2201569400507688,2365
heartbreaker,0.21424174078208655,2365
incessantly,0.16270723196504966,2365
cure,0.13427320446543145,2365
ya,0.1292094031111108,2365
run,0.09319700015651478,2365
known,0.09148374884569314,2365
game,0.08614358172839377,2365
gone,0.4180653100329179,2995
fair,0.40215381948486845,2995
really,0.288756334145397,2995
tonight,0.2593338437151383,2995
let,0.20083342279243102,2995
avoiding,0.19881273340322336,2995
honesty,0.19154915486779936,2995
apologies,0.17567764668917504,2995
sympathy,0.17107427695123062,2995
right,0.16958095390913247,2995
sea,0.6653241985490325,3644
shining,0.32553247989493556,3644
america,0.26635093665571397,3644
spacious,0.19463137283149395,3644
majesties,0.19463137283149395,3644
fruited,0.19463137283149395,3644
brotherhood,0.1795961524783133,3644
grain,0.15765327650170227,3644
amber,0.1540296666187614,3644
thee,0.1482106886810377,3644
believe,0.5176019396879048,3649
miracles,0.49032429294369817,3649
achieve,0.3452909625984759,3649
somehow,0.2825718739541352,3649
frail,0.25245744254860564,3649
kill,0.15259131349510477,3649
hope,0.13293109184420696,3649
knows,0.11764041906313885,3649
hard,0.11217321428288174,3649
though,0.10083145829982691,3649
beautiful,0.4600127502394383,3650
mountains,0.3174629220463363,3650
flowers,0.3030106742798581,3650
loveliness,0.2362607037736734,3650
caresses,0.2362607037736734,3650
gazing,0.1997585541936039,3650
misty,0.19665724028358347,3650
halo,0.18697477651189995,3650
wider,0.18320682610677366,3650
gently,0.17991118854656027,3650
free,0.8092213346022517,3658
unsteady,0.17190032210320183,3658
unclouded,0.16413245712060956,3658
serenity,0.15434610461896803,3658
rained,0.14789999901777487,3658
soar,0.1453418163083317,3658
surrounding,0.14308533924058223,3658
uncertainty,0.14106685172153294,3658
washing,0.1392409076553691,3658
wandering,0.1392409076553691,3658
incessantly,0.2681475846266727,3671
heartbreaker,0.23538558437390347,3671
known,0.2261529434429367,3671
real,0.2129162861296292,3671
back,0.20847606016507175,3671
clue,0.19789998296934805,3671
love,0.18982405973557548,3671
give,0.18170166336663368,3671
coming,0.17778153246736195,3671
heart,0.1683204940432479,3671
heat,0.9189953088016878,3672
oh,0.17756169293019777,3672
sho,0.14503058856513493,3672
ain,0.12753464831173894,3672
one,0.11063908207762398,3672
bother,0.10109164321872081,3672
ho,0.08308390984799804,3672
think,0.0830675850409785,3672
sleep,0.06176914676881742,3672
boo,0.060911680417107004,3672
wondering,0.4356098241688666,3673
breathe,0.3561466624471098,3673
suffocating,0.2962225034009609,3673
told,0.24663056488815963,3673
drowning,0.23419260820948734,3673
enmity,0.17793836887518003,3673
innermost,0.17793836887518003,3673
recollections,0.17793836887518003,3673
would,0.17348177500652365,3673
select,0.16989765546793417,3673
sailed,0.4378362561941387,3728
sincere,0.4122936362922357,3728
softly,0.3746241506384097,3728
whisper,0.31056946107069794,3728
beside,0.2992851793307577,3728
blind,0.2655778544330405,3728
together,0.2133697175256574,3728
dark,0.21284799594941317,3728
beat,0.1946364427545035,3728
mine,0.18388866226415918,3728
butterfly,0.5327391512186777,3729
fly,0.4033622265505059,3729
spread,0.359828067107524,3729
wings,0.3179304944678158,3729
abandonedly,0.2543989071123698,3729
truly,0.20926607889190665,3729
prepare,0.1891155588635103,3729
become,0.18861840271621944,3729
return,0.17018112832570845,3729
meant,0.13069547142487262,3729
beat,0.5296667271467571,3730
make,0.3238642944211164,3730
mommy,0.29795864305669045,3730
supernatural,0.2804950320040863,3730
love,0.21670694582419298,3730
actually,0.21200713770176077,3730
rocky,0.19912787761392758,3730
talking,0.1804231251499253,3730
forever,0.17970211137286424,3730
sure,0.1754666608138002,3730
shake,0.8991189539777418,3744
gotta,0.290534013640241,3744
ooh,0.13075168474331392,3744
bounce,0.11925948896371066,3744
calgon,0.09056980911929366,3744
appreciates,0.08752857425212239,3744
commercial,0.08020095958487992,3744
everybody,0.07933825532937523,3744
somewhere,0.061083959592298766,3744
means,0.052022690284845,3744
christmas,0.7271462844220785,3745
air,0.20689169786826245,3745
da,0.19584868813586317,3745
dat,0.18353952984621114,3745
cheer,0.16508412681181062,3745
time,0.1318438665489971,3745
share,0.12901864629528245,3745
moment,0.11411858581690236,3745
sparkled,0.11405501011929645,3745
occupied,0.11405501011929645,3745
care,0.6582823140521844,3754
