song,artist,released,actual_sales,times_platinum
California Gurls,Katy Perry featuring Snoop Dogg,2010,5.8,8×
Hot n Cold,Katy Perry,2008,5.7,8×
Teenage Dream,Katy Perry,2010,4.9,8x
Blank Space,Taylor Swift,2014,4.6,8×
Eye of the Tiger,Survivor,1982,4.1,8×
Bang Bang,"Jessie J, Ariana Grande and Nicki Minaj",2014,3.5,8×
Let It Go,Idina Menzel,2014,3.4,8×
Sugar,Maroon 5,2015,3.3,8×
Gold Digger,Kanye West featuring Jamie Foxx,2005,3.1,8×
Niggas in Paris,Jay-Z and Kanye West,2011,3.0,8×
Can't Feel My Face,The Weeknd,2015,2.4,8×
Hotline Bling,Drake,2015,2.2,8×
Work,Rihanna,2016,1.8,8×
I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",2017,1.1,8×
Mask Off,Future,2017,0.7,8×
Blinding Lights,The Weeknd,2019,0.6,8×
Cheap Thrills,Sia,2016,—,8×
Goosebumps,Travis Scott,2016,—,8×
Fefe,6ix9ine featuring Nicki Minaj and Murda Beatz,2018,—,8×
White Iverson,Post Malone,2015,—,8×
Look at Me Now,Chris Brown featuring Lil Wayne and Busta Rhymes,2011,—,8x
No Guidance,Chris Brown featuring Drake,2019,—,8x
F*ck You/Forget You,Cee Lo Green,2010,6.0,7×
Right Round,Flo Rida featuring Kesha,2009,5.6,7×
Payphone,Maroon 5 featuring Wiz Khalifa,2012,5.5,7×
I Knew You Were Trouble,Taylor Swift,2012,5.4,7×
Some Nights,fun.,2012,5.0,7×
If I Die Young,The Band Perry,2010,5.0,7×
You Belong with Me,Taylor Swift,2009,4.9,7×
Heartless,Kanye West,2008,4.0,7×
Fancy,Iggy Azalea featuring Charli XCX,2014,4.0,7×
Hello,Adele,2015,3.7,7×
Fireflies,Owl City,2009,3.0,7×
Stitches,Shawn Mendes,2015,2.7,7×
Earned It,The Weeknd,2014,2.1,7×
One Dance,Drake featuring Wizkid and Kyla,2016,1.8,7×
XO Tour Llif3,Lil Uzi Vert,2017,0.4,7×
Humble,Kendrick Lamar,2017,—,7×
What Do You Mean?,Justin Bieber,2015,—,7×
Location,Khalid,2017,—,7×
Broccoli,DRAM featuring Lil Yachty,2016,—,7×
Psycho,Post Malone featuring Ty Dolla Sign,2018,—,7×
I Fall Apart,Post Malone,2016,—,7×
No One,Alicia Keys,2007,—,7×
No Limit,G-Eazy featuring Cardi B and A$AP Rocky,2017,—,7×
Middle Child,J. Cole,2019,—,7×
Boom Boom Pow,The Black Eyed Peas,2008,6.9,5×
Single Ladies (Put a Ring on It),Beyonce,2009,6.4,4×
Viva la Vida,Coldplay,2008,6.1,3×
Someone Like You,Adele,2011,6.0,5×
Apologize,Timbaland featuring OneRepublic,2007,6.0,4×
Let You Down,NF,2017,6.0,6×
Thriller,Michael Jackson,1984,6.0,6×
Give Me Everything,"Pitbull featuring Afrojack, Nayer and Ne-Yo",2011,4.9,6×
Chicken Fried,Zac Brown Band,2008,4.9,6×
Disturbia,Rihanna,2008,4.8,6×
I Kissed a Girl,Katy Perry,2008,4.7,6×
One More Night,Maroon 5,2012,4.6,6×
I Won't Give Up,Jason Mraz,2012,4.5,6×
Starships,Nicki Minaj,2012,4.5,6×
Umbrella,Rihanna featuring Jay-Z,2007,4.5,6×
Born This Way,Lady Gaga,2011,4.3,6×
Can't Hold Us,Macklemore & Ryan Lewis featuring Ray Dalton,2013,4.3,6×
Take Me to Church,Hozier,2013,4.3,6×
Wake Me Up!,Avicii,2013,4.1,6×
We Are Never Ever Getting Back Together,Taylor Swift,2012,4.1,6×
Say Something,A Great Big World and Christina Aguilera,2013,4.0,6×
Let Her Go,Passenger,2012,4.0,6×
Airplanes,B.o.B featuring Hayley Williams,2010,4.0,6×
Down,Jay Sean featuring Lil Wayne,2009,4.0,6×
The Monster,Eminem featuring Rihanna,2013,3.8,6×
Last Friday Night (T.G.I.F.),Katy Perry,2011,3.8,6×
Forever,"Drake, Kanye West, Lil Wayne, and Eminem",2009,3.7,6×
Country Girl (Shake It for Me),Luke Bryan,2011,3.7,6×
Problem,Ariana Grande featuring Iggy Azalea,2014,3.7,6×
Only Girl (In the World),Rihanna,2010,3.6,6×
Turn Down for What,DJ Snake and Lil John,2014,3.5,6×
Diamonds,Rihanna,2012,3.5,6×
Pompeii,Bastille,2013,3.4,6×
The Lazy Song,Bruno Mars,2011,3.3,6×
Bad Blood,Taylor Swift featuring Kendrick Lamar,2015,3.2,6×
Boyfriend,Justin Bieber,2012,3.2,6×
My House,Flo Rida,2015,2.7,6×
"Hold On, We're Going Home",Drake featuring Majid Jordan,2013,2.7,6×
7 Years,Lukas Graham,2015,2.1,6×
Tennessee Whiskey,Chris Stapleton,2015,1.9,6×
